feature,importance
target_diff_1,10.060475252180556
target_diff_24,8.543150055777753
target_diff_12,7.401907899887262
target_diff_4,6.543511359406236
return_1,1.6825833036421247
target_lag_24,1.5570565041536293
target_lag_12,1.3021428517909375
target_lag_4,1.104912379976609
log_return_1,0.5492372058333373
target_lag_1,0.25432519308550483
price_change_pct,0.12138561126993963
price_volume,0.10213896077901738
close_open_ratio,0.08982074330996381
high_low_ratio,0.0660713294640427
target_rolling_min_12,0.02637745963277771
target_rolling_max_24,0.02331254053741727
price_change,0.016998911655595854
target_rolling_min_24,0.01665673930324929
target_rolling_max_12,0.016065628692103262
close_EMA_ratio_4,0.015377376101976425
target_lag_2,0.014890828627423035
target_rolling_max_48,0.01240944376563391
volume_log,0.011264139333718504
return_2,0.008294547111901807
target_rolling_std_12,0.007039490013646343
return_4,0.0064507312694139785
return_12,0.005871873510734815
target_rolling_std_24,0.004683115133781612
log_return_24,0.004677608620774265
ATR_ratio_14,0.0046122735920093305
target_rolling_std_96,0.0039910482149210225
BB_position_20,0.003926603705792786
volume_ratio_4,0.003426454316714178
close_SMA_ratio_4,0.003409288664563803
return_24,0.003317318563695437
volatility_24,0.002892705844060428
body_size,0.002800541766237785
target_rolling_min_48,0.002673636710650129
volatility_12,0.0026485215096778703
lower_shadow,0.0025465218651632426
target_kurt_96,0.0024767256988997843
volume_ratio_12,0.0024477219532350603
volume_change,0.0021829910564203914
return_96,0.0021114291791186623
close_EMA_ratio_24,0.0020456346231298994
ATR_ratio_28,0.0019598157100091385
return_rolling_mean_24,0.0017749070814556678
log_return_4,0.0017154274562187766
target_rolling_mean_24,0.0016977825128705604
close_EMA_ratio_96,0.0016289823882615906
log_return_12,0.0016234407400439466
volume_ratio_48,0.0015105956699077439
volume_ratio_96,0.0014667324808304016
target_lag_96,0.0013492002083381749
target_rolling_mean_12,0.0013456409986503104
target_rolling_min_96,0.0013156424758946628
ROC_4,0.0013045492864875996
RSI_14,0.0012961237262009706
vol_ratio_12_48,0.0012670939400862835
target_rolling_max_96,0.0012508435321620937
return_rolling_std_96,0.0012046463801311802
EMA_cross_12_48,0.0011607141261311682
momentum_4,0.0011416720023920135
target_lag_8,0.000946260209881089
momentum_12,0.0009010813423202535
RSI_6,0.0008857776932682526
target_lag_3,0.0008270275937340976
return_rolling_std_12,0.0008147305324577303
return_48,0.0007919126416524591
ATR_14,0.0007497501982118848
RSI_28,0.0007381527148933031
return_rolling_mean_48,0.0007198364218374831
BB_width_20,0.0007090288671633971
volatility_96,0.0006957714177922014
SMA_cross_12_48,0.0006663352020552793
volume_ratio_24,0.0006299329412953192
volatility_48,0.0005301923310980783
target_skew_48,0.0004883835466448216
log_return_96,0.0004707583847900487
price_range,0.000443455725888775
ATR_28,0.000432111462716378
close_lag_24,0.00043040162428908957
close_lag_12,0.0004301800434376446
close_EMA_ratio_12,0.000421433485058742
close_lag_1,0.0004079299676149617
target_rolling_std_48,0.0004066339909358785
target_lag_48,0.00038499725496876636
target_kurt_48,0.0003839015047262251
MACD_signal,0.00035648873784843715
upper_shadow,0.00033611746307826706
target_skew_96,0.00031135618237304596
hour_cos,0.0002968855667919712
MACD_hist,0.00028951412762479034
close_SMA_ratio_96,0.00028414231689932734
return_rolling_mean_96,0.00027065526464209455
momentum_24,0.0002498687000151989
return_rolling_std_24,0.00023130165175189177
return_rolling_mean_12,0.00021595137008434406
close_lag_3,0.00016666582519064832
close_SMA_ratio_48,0.00016548127079119013
target_lag_6,0.00015224070114072674
momentum_48,0.000141968485824151
target_rolling_mean_48,0.00014104060210229363
close_lag_2,0.00013351440587250352
close_lag_8,0.0001225302910157211
return_rolling_std_48,9.845742380321099e-05
month_cos,7.441884667969134e-05
MACD,6.82274155420215e-05
close_EMA_ratio_48,6.340252522107903e-05
hour_sin,5.740785856289676e-05
close_lag_4,5.342338954505976e-05
close_lag_6,3.925749842892401e-05
return_8,2.056459417820733e-05
close_SMA_ratio_24,1.964066778472294e-05
close_SMA_ratio_12,1.3459916885949497e-05
target_rolling_mean_96,1.07604138501749e-05
day_sin,4.317249931773404e-06
body_direction,3.456759998243797e-07
is_asia_session,0.0
month_sin,0.0
day_cos,0.0
is_us_session,0.0
is_europe_session,0.0
is_weekend,0.0
ROC_12,0.0
ROC_24,0.0
ROC_48,0.0
