feature,importance
close_open_ratio,5
ATR_ratio,3
lower_shadow,3
volatility_5,2
target_lag_2,2
volatility_15,2
upper_shadow,2
MACD,1
vol_ratio_15_240,1
SMA_ratio_5_60,1
log_return,1
vol_ratio_5_60,1
kurt_15,1
position_in_range_15,1
kurt_60,1
target_lag_30,1
SMA_slope_15,1
dist_SMA_240,1
log_ret_15,0
log_ret_1,0
volatility_60,0
volatility_240,0
log_ret_240,0
log_ret_60,0
log_ret_5,0
ROC_5,0
ROC_15,0
MACD_signal,0
SMA_slope_60,0
dist_SMA_5,0
dist_SMA_15,0
SMA_ratio_15_240,0
ATR_14,0
ATR_28,0
BB_position,0
BB_width,0
volume_ratio_5,0
volume_log,0
MACD_hist,0
ROC_60,0
dist_SMA_60,0
RSI_6,0
RSI_14,0
RSI_28,0
position_in_range_60,0
skew_15,0
price_volume_corr_15,0
OBV_ratio,0
volume_ratio_60,0
volume_ratio_15,0
skew_240,0
position_in_range_240,0
target_lag_3,0
target_lag_4,0
target_lag_10,0
target_lag_5,0
target_lag_15,0
kurt_240,0
target_lag_1,0
skew_60,0
day_of_week,0
hour,0
target_lag_60,0
day_of_month,0
day_sin,0
month,0
hour_sin,0
hour_cos,0
month_cos,0
month_sin,0
day_cos,0
high_low_ratio,0
body_size,0
body_direction,0
RSI_vol_interaction,0
MACD_volume_interaction,0
