iter	Passed	Remaining
0	94	47238
1	143	35639
2	190	31507
3	232	28860
4	280	27787
5	329	27137
6	384	27070
7	434	26732
8	485	26470
9	528	25909
10	580	25786
11	626	25487
12	681	25511
13	740	25713
14	796	25739
15	848	25673
16	897	25487
17	941	25201
18	983	24897
19	1025	24603
20	1078	24600
21	1125	24445
22	1170	24267
23	1216	24132
24	1256	23871
25	1304	23779
26	1350	23663
27	1397	23561
28	1446	23492
29	1491	23373
30	1541	23319
31	1587	23223
32	1634	23128
33	1685	23097
34	1725	22926
35	1778	22919
36	1823	22815
37	1870	22738
38	1910	22588
39	1961	22551
40	2008	22481
41	2059	22458
42	2100	22322
43	2147	22251
44	2194	22193
45	2239	22105
46	2285	22029
47	2328	21929
48	2376	21873
49	2421	21796
50	2473	21775
51	2522	21732
52	2576	21729
53	2614	21593
54	2653	21473
55	2703	21435
56	2750	21375
57	2800	21342
58	2846	21275
59	2889	21187
60	2931	21098
61	2987	21102
62	3028	21007
63	3065	20883
64	3117	20863
65	3164	20807
66	3212	20759
67	3260	20714
68	3308	20668
69	3351	20590
70	3399	20538
71	3446	20487
